Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Personal..income..(thousands..of..dollars),0.793388152,0.792471819,0.78988984,0.785646837,0.775750302,0.778397438,0.77650503,0.776510987,0.776762427,0.77469551,0.773667397,0.777475245,0.775118104,0.776449493,0.779090195,0.778584208,0.781878239,0.785054169,0.787773499,0.791376001,0.790967935,0.791931277,0.790646696,0.788969491,0.78827881,0.78646191,0.78846861,0.787490762,0.788741336,0.791537945,0.793530713,0.796685502
Population..(persons)..2/,0.737544226,0.738657662,0.737723793,0.736172232,0.734842362,0.734089477,0.732256525,0.731145124,0.729864069,0.729195314,0.727982707,0.727771903,0.728082568,0.728464218,0.72916484,0.730131812,0.73176082,0.733807852,0.735594214,0.73702827,0.738450656,0.73974895,0.740532135,0.740919849,0.740900375,0.740744942,0.740392748,0.740450501,0.74082392,0.741437553,0.74215425,0.742975744
Per..capita..personal..income..(dollars),0.137688889,0.132722361,0.131154336,0.131646936,0.145098515,0.134274938,0.13532127,0.123003996,0.121804411,0.119439241,0.11901027,0.126133692,0.119558133,0.120321181,0.122050025,0.118939902,0.12037483,0.121419536,0.121209068,0.124311738,0.120416543,0.1191975,0.114654514,0.111198305,0.112831469,0.11019056,0.113159073,0.11564888,0.114942049,0.119790698,0.122062548,0.125578712
"..Dividends,..interest,..and..rent..5/",0.811443485,0.807191467,0.803891873,0.799729915,0.792812765,0.790476808,0.783507985,0.78217352,0.779004406,0.77845126,0.776560289,0.773004872,0.772875145,0.769412026,0.769444622,0.773603695,0.775773216,0.778698393,0.783885067,0.79010763,0.7923766,0.797533967,0.796565568,0.796259524,0.797050188,0.798131585,0.799018719,0.79932113,0.800000923,0.801897402,0.803568344,0.806333931
..Farm..earnings,0.542093659,0.543286293,0.539646065,0.532280031,0.54358865,0.593041966,0.598749078,0.587267313,0.622386924,0.610292694,0.597242495,0.755144505,0.641356258,0.650469131,0.788787579,0.64816281,0.656798432,0.67424025,0.657977765,0.676431494,0.627671149,0.626284435,0.647625454,0.60296233,0.652114132,0.630390827,0.710264266,0.661880429,0.669159904,0.684007509,0.688833186,0.660916999
..Nonfarm..earnings,0.832540879,0.831348826,0.828672197,0.827038298,0.825321268,0.823107797,0.820809981,0.816968853,0.817490991,0.816866996,0.816807561,0.81859613,0.819701321,0.822099439,0.822993154,0.824349889,0.827615198,0.830384081,0.832655229,0.833868133,0.833600121,0.833849877,0.832247623,0.831460068,0.829533883,0.827859604,0.828582363,0.829982247,0.830929658,0.833167985,0.835263268,0.839318786
....Private..nonfarm..earnings,0.839627834,0.838153622,0.835016156,0.832918146,0.831096871,0.828427648,0.825998948,0.821658204,0.822617982,0.821983687,0.822328843,0.824601591,0.826100249,0.829127415,0.829976724,0.831171534,0.835175394,0.83823432,0.84078281,0.842032566,0.841644088,0.842228066,0.840670352,0.840020519,0.837935333,0.83621603,0.837308384,0.839139183,0.840094424,0.842531131,0.844981097,0.849586228
"......Agricultural..services,..forestry,..and..fishing",0.726514428,0.729008777,0.727390738,0.725375625,0.729547647,0.728759284,0.734307489,0.736932254,0.757067705,0.76390838,0.764822864,0.768102776,0.75657968,0.766176593,0.749973803,0.742669305,0.757546391,0.773215395,0.766931871,0.768447883,0.774953165,0.776241522,0.782590046,0.779903272,0.776112865,0.776349913,0.780276137,0.781051992,0.774332228,0.748413467,0.748365553,0.750666944
........Agricultural..services,0.742852014,0.745638745,0.745826173,0.74386998,0.747926445,0.747018538,0.752800245,0.7538676,0.770695911,0.775711504,0.775866366,0.781199853,0.774796058,0.775268146,0.775750605,0.773813484,0.779289726,0.789252278,0.77509467,0.777880877,0.786229085,0.78693804,0.794391586,0.792417954,0.790582681,0.792800747,0.792981342,0.794007625,0.788766298,0.751067341,0.766512318,0.76709515
........Forestry..and..fishing,0.903668481,0.899884961,0.894952217,0.890263347,0.892691332,0.890329934,0.891724521,0.897879607,0.917629205,0.925949451,0.926890752,0.923324766,0.902015009,0.940186002,0.864955397,0.831512433,0.887854418,0.899901101,0.92800259,0.915084105,0.917153885,0.91828139,0.912219981,0.915650009,0.906881671,0.892265547,0.907502934,0.917381341,0.904750368,0.91441326,0.912802888,0.913227924
..........Forestry,0.867810598,0.860798553,0.85283343,0.859089674,0.860751264,0.857913266,0.858775982,0.857325849,0.88139409,0.88241316,0.882319521,0.883295699,0.863949923,0.948506038,0.806560893,0.793615866,0.817937037,0.832349251,0.956090179,0.944828451,0.9423167,0.934354442,0.887435711,0.900722862,0.897620613,0.895796929,0.933608187,0.953471709,0.945418772,0.940053515,0.934498574,0.937689193
..........Fishing,0.960945341,0.959477566,0.960343805,0.95911937,0.960944722,0.956678887,0.957347879,0.958414128,0.960100278,0.962495311,0.96065389,0.959767083,0.960357875,0.963329843,0.958936066,0.967300495,0.951960267,0.943773637,0.941144093,0.952917467,0.957444896,0.961105992,0.956201127,0.959594216,0.957025261,0.950151125,0.954257353,0.949725754,0.944017876,0.951210607,0.952263525,0.954389911
......Mining,0.866436564,0.868980771,0.873493519,0.868484163,0.864753839,0.852979883,0.853883077,0.854902285,0.852168768,0.85929647,0.859898964,0.851400553,0.856117591,0.866500411,0.88056817,0.874083476,0.870239794,0.896261125,0.893589671,0.882708422,0.888223763,0.892320158,0.888300031,0.887420371,0.888998884,0.885456504,0.889649313,0.892211327,0.895835442,0.88566587,0.883578447,0.890202084
