Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Personal..income..(thousands..of..dollars),0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.01094434,0.01094434,0.01094434,0.010631645,0.010318949,0.010318949,0.010318949,0.010318949,0.010318949,0.010006254,0.009693558,0.009693558,0.009068168,0.009068168,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472
Population..(persons)..2/,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.01094434,0.01094434,0.01094434,0.010631645,0.010318949,0.010318949,0.010318949,0.010318949,0.010318949,0.010006254,0.009693558,0.009693558,0.009068168,0.009068168,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472
Per..capita..personal..income..(dollars),0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.01094434,0.01094434,0.01094434,0.010631645,0.010318949,0.010318949,0.010318949,0.010318949,0.010318949,0.010006254,0.009693558,0.009693558,0.009068168,0.009068168,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472
"..Dividends,..interest,..and..rent..5/",0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.01094434,0.01094434,0.01094434,0.010631645,0.010318949,0.010318949,0.010318949,0.010318949,0.010318949,0.010006254,0.009693558,0.009693558,0.009068168,0.009068168,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472
..Farm..earnings,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.01094434,0.01094434,0.01094434,0.010631645,0.010318949,0.010318949,0.010318949,0.010318949,0.010318949,0.010006254,0.009693558,0.009693558,0.009068168,0.009068168,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472
..Nonfarm..earnings,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.01094434,0.01094434,0.01094434,0.010631645,0.010318949,0.010318949,0.010318949,0.010318949,0.010318949,0.010006254,0.009693558,0.009693558,0.009068168,0.009068168,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472
....Private..nonfarm..earnings,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.009068168,0.01094434,0.01094434,0.01094434,0.010631645,0.010318949,0.010318949,0.010318949,0.010318949,0.010318949,0.010006254,0.009693558,0.009693558,0.009068168,0.009068168,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472,0.008755472
"......Agricultural..services,..forestry,..and..fishing",0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.064727955,0.065353346,0.065353346,0.065353346,0.046904315,0.04659162,0.051282051,0.048780488,0.066604128,0.090681676,0.072545341,0.068167605,0.066916823,0.181363352,0.16166354,0.146028768,0.144777986,0.195747342,0.196060038,0.193245779,0.489681051,0.481238274,0.483114447
........Agricultural..services,0.183864916,0.183864916,0.183864916,0.183864916,0.183864916,0.183864916,0.183864916,0.183864916,0.183864916,0.183864916,0.185741088,0.185741088,0.185741088,0.095997498,0.095684803,0.108505316,0.114133834,0.124765478,0.146341463,0.174796748,0.171357098,0.176360225,0.203877423,0.197310819,0.193245779,0.186366479,0.26985616,0.265791119,0.257661038,0.60412758,0.594434021,0.587554722
........Forestry..and..fishing,0.145403377,0.145403377,0.145403377,0.145403377,0.145403377,0.145403377,0.145403377,0.145403377,0.145403377,0.145403377,0.146654159,0.146654159,0.146654159,0.0684803,0.068167605,0.077548468,0.087867417,0.078173859,0.085991245,0.142589118,0.142901814,0.146966854,0.075046904,0.087867417,0.093495935,0.08630394,0.162601626,0.152595372,0.149155722,0.310819262,0.307692308,0.317698562
